experimen_no,algorithm,query_strategy,number_of_instances,f1
19,"state=1/foldid=1/ask_ids=['137:1', '78:1', '163:1', '158:1', '149:2', '81:3', '74:3', '145:1', '143:3', '154:1']",cnn-sep,rs,128,0.8722170686456401
20,"state=1/foldid=1/ask_ids=['63:4', '84:2', '127:2', '161:2', '101:1', '132:2', '52:2', '106:2', '53:2', '64:1']",cnn-sep,rs,138,0.7656349829798377
21,"state=1/foldid=1/ask_ids=['139:2', '87:4', '144:3', '67:1', '150:1', '99:2', '151:3', '57:3', '129:1', '56:4']",cnn-sep,rs,148,0.8746782056631578
22,"state=1/foldid=1/ask_ids=['133:4', '97:3', '134:1', '131:1', '102:1', '124:2', '90:1', '138:2', '100:1', '95:1']",cnn-sep,rs,158,0.796003356297474
23,"state=1/foldid=1/ask_ids=['48:4', '77:2', '157:2', '130:2', '159:1', '50:1', '155:2', '75:1']",cnn-sep,rs,166,0.8269073690291001
0,"state=1/foldid=2/ask_ids=['155:2', '136:2', '130:2', '88:3', '101:2', '95:1', '89:3', '66:1', '69:2', '141:2']",cnn-sep,lc,58,0.7416666666666666
1,"state=1/foldid=2/ask_ids=['128:3', '139:2', '81:3', '165:4', '127:2', '145:1', '61:4', '54:1', '105:4', '90:2']",cnn-sep,lc,68,0.6949227657939954
2,"state=1/foldid=2/ask_ids=['93:2', '138:2', '158:1', '121:2', '56:4', '122:2', '159:1', '71:3', '123:4', '115:4']",cnn-sep,lc,78,0.7211980548187444
3,"state=1/foldid=2/ask_ids=['135:3', '100:1', '63:4', '64:1', '74:3', '70:4', '48:4', '142:1', '113:2', '124:2']",cnn-sep,lc,88,0.7065387224072018
4,"state=1/foldid=2/ask_ids=['57:4', '85:3', '133:4', '160:1', '77:2', '87:4', '163:1', '104:3', '51:1', '151:3']",cnn-sep,lc,98,0.7642178673471614
5,"state=1/foldid=2/ask_ids=['153:4', '111:4', '78:1', '129:2', '157:3', '108:3', '98:2', '162:2', '91:2', '134:2']",cnn-sep,lc,108,0.7292246678914641
6,"state=1/foldid=2/ask_ids=['84:2', '92:1', '148:3', '146:1', '72:2', '52:3', '126:2', '114:2', '107:2', '83:2']",cnn-sep,lc,118,0.7715989020415166
7,"state=1/foldid=2/ask_ids=['82:3', '50:1', '120:4', '143:3', '65:4', '96:3', '147:2', '55:4', '131:1', '62:4']",cnn-sep,lc,128,0.7863716597145674
8,"state=1/foldid=2/ask_ids=['110:3', '156:4', '137:1', '132:2', '49:3', '68:2', '140:1', '86:2', '152:2', '161:3']",cnn-sep,lc,138,0.7723683387327984
9,"state=1/foldid=2/ask_ids=['106:2', '125:4', '75:1', '94:2', '144:3', '53:2', '112:2', '150:1', '79:3', '118:1']",cnn-sep,lc,148,0.8045128498503784
10,"state=1/foldid=2/ask_ids=['103:2', '102:2', '119:2', '99:2', '149:2', '59:2', '164:1', '67:1', '154:1', '116:3']",cnn-sep,lc,158,0.7229378416709812
11,"state=1/foldid=2/ask_ids=['60:1', '76:1', '73:3', '109:3', '58:3', '97:3', '80:3', '117:3']",cnn-sep,lc,166,0.7715989020415166
12,"state=1/foldid=2/ask_ids=['160:1', '138:2', '57:4', '67:1', '149:2', '106:2', '118:1', '100:1', '123:4', '139:2']",cnn-sep,rs,58,0.6901858899297424
13,"state=1/foldid=2/ask_ids=['129:2', '144:3', '134:2', '159:1', '88:3', '84:2', '61:4', '126:2', '116:3', '93:2']",cnn-sep,rs,68,0.754106204384054
14,"state=1/foldid=2/ask_ids=['155:2', '163:1', '96:3', '124:2', '112:2', '109:3', '69:2', '81:3', '85:3', '76:1']",cnn-sep,rs,78,0.7148299319727892
15,"state=1/foldid=2/ask_ids=['66:1', '143:3', '68:2', '119:2', '127:2', '59:2', '142:1', '131:1', '94:2', '83:2']",cnn-sep,rs,88,0.7491558043915668
16,"state=1/foldid=2/ask_ids=['64:1', '132:2', '133:4', '77:2', '148:3', '152:2', '141:2', '153:4', '122:2', '62:4']",cnn-sep,rs,98,0.8022435897435897
17,"state=1/foldid=2/ask_ids=['91:2', '92:1', '101:2', '110:3', '70:4', '52:3', '164:1', '72:2', '86:2', '125:4']",cnn-sep,rs,108,0.79723055922124
18,"state=1/foldid=2/ask_ids=['60:1', '99:2', '53:2', '117:3', '51:1', '140:1', '104:3', '108:3', '87:4', '137:1']",cnn-sep,rs,118,0.796612554112554
19,"state=1/foldid=2/ask_ids=['98:2', '58:3', '79:3', '130:2', '50:1', '150:1', '102:2', '128:3', '54:1', '146:1']",cnn-sep,rs,128,0.7048821832237013
20,"state=1/foldid=2/ask_ids=['121:2', '74:3', '157:3', '90:2', '145:1', '107:2', '165:4', '56:4', '82:3', '113:2']",cnn-sep,rs,138,0.7782717282717283
21,"state=1/foldid=2/ask_ids=['95:1', '73:3', '154:1', '114:2', '135:3', '63:4', '55:4', '48:4', '161:3', '97:3']",cnn-sep,rs,148,0.7626809407030121
22,"state=1/foldid=2/ask_ids=['65:4', '103:2', '71:3', '49:3', '158:1', '75:1', '80:3', '89:3', '111:4', '151:3']",cnn-sep,rs,158,0.7540517691076214
23,"state=1/foldid=2/ask_ids=['162:2', '156:4', '120:4', '115:4', '105:4', '136:2', '78:1', '147:2']",cnn-sep,rs,166,0.7433196207732446
0,"state=2/foldid=0/ask_ids=['125:4', '111:4', '120:4', '75:1', '144:3', '153:4', '63:4', '80:2', '77:2', '104:3']",cnn-sep,lc,58,0.7457714644621665
1,"state=2/foldid=0/ask_ids=['106:2', '94:2', '162:2', '139:2', '149:2', '92:1', '79:3', '86:2', '87:4', '135:2']",cnn-sep,lc,68,0.6915785350567959
2,"state=2/foldid=0/ask_ids=['55:3', '127:2', '148:3', '74:3', '154:1', '59:2', '147:2', '67:1', '61:4', '93:1']",cnn-sep,lc,78,0.7829184229012996
3,"state=2/foldid=0/ask_ids=['81:3', '121:2', '143:3', '165:4', '128:3', '73:2', '89:3', '123:4', '132:2', '105:4']",cnn-sep,lc,88,0.7486232397662383
4,"state=2/foldid=0/ask_ids=['64:1', '99:2', '72:2', '88:3', '112:2', '152:2', '53:2', '159:1', '114:2', '82:3']",cnn-sep,lc,98,0.7205863849101718
5,"state=2/foldid=0/ask_ids=['156:4', '60:1', '100:1', '68:2', '76:1', '160:1', '54:1', '131:1', '90:1', '145:1']",cnn-sep,lc,108,0.771824677065754
6,"state=2/foldid=0/ask_ids=['138:2', '62:4', '118:1', '110:3', '49:3', '163:1', '109:3', '66:1', '129:2', '83:2']",cnn-sep,lc,118,0.810966810966811
7,"state=2/foldid=0/ask_ids=['137:1', '48:4', '116:3', '140:1', '115:4', '57:3', '158:1', '134:1', '84:2', '126:2']",cnn-sep,lc,128,0.7801410737150174
8,"state=2/foldid=0/ask_ids=['130:2', '119:2', '103:2', '113:2', '136:2', '155:2', '157:2', '161:2', '85:3', '98:2']",cnn-sep,lc,138,0.7712167743301916
9,"state=2/foldid=0/ask_ids=['96:2', '124:2', '141:2', '91:2', '102:2', '69:2', '107:2', '71:3', '50:1', '101:1']",cnn-sep,lc,148,0.7162997086738973
